Company_id,Company_Name,Industry,Employee_count,Job_ID,LinkedIn_Followers,Location_City,Location_State,Designation,Details_ID,Involvement,Level,Total_Applicants
C110,Games24x7,"Technology, Information and Internet",501,J336,0,Bengaluru,Karnataka,Data Scientist,D084,Full-time,Mid-Senior level,NULL
C110,Games24x7,"Technology, Information and Internet",501,J346,0,Bengaluru,Karnataka,Data Analyst,D008,Full-time,Associate,NULL
C023,Airbnb,"Technology, Information and Internet",5001,J350,2127258,Bengaluru,Karnataka,Analytics and Insights Analyst,D038,Full-time,Entry level,181
C189,Ola,"Technology, Information and Internet",5001,J356,0,Bengaluru,Karnataka,Graphic Designer,D028,Full-time,Director,NULL
C226,Swiggy,"Technology, Information and Internet",1001,J267,0,Bengaluru,Karnataka,Manager - Strategy,D008,Full-time,Associate,NULL
C150,OJCommerce,"Technology, Information and Internet",51,J387,0,Chennai,Tamil Nadu,Excel Developer,D030,Full-time,Entry level,NULL
C023,Airbnb,"Technology, Information and Internet",5001,J388,2127258,Gurgaon,Haryana,Analytics & Insight Analyst,D030,Full-time,Entry level,NULL
C023,Airbnb,"Technology, Information and Internet",5001,J237,2127258,Gurgaon,Haryana,Analytics and Insights Analyst,D036,Full-time,Entry level,169
C023,Airbnb,"Technology, Information and Internet",5001,J239,2127258,Gurgaon,Haryana,Analytics and Insights Analyst,D030,Full-time,Entry level,NULL
C001,MakeMyTrip,"Technology, Information and Internet",1001,J248,0,Gurugram,Haryana,Data Scientist,D008,Full-time,Associate,NULL
C001,MakeMyTrip,"Technology, Information and Internet",1001,J251,0,Gurugram,Haryana,Product Analyst,D008,Full-time,Associate,NULL
C035,OYO,"Technology, Information and Internet",5001,J020,0,Gurugram,Haryana,Business Analyst,D084,Full-time,Mid-Senior level,NULL
C157,Tata 1mg,"Technology, Information and Internet",1001,J021,0,Gurugram,Haryana,Manager / Sr. Manager – Business Intelligence,D084,Full-time,Mid-Senior level,NULL
C039,Uber,"Technology, Information and Internet",10000,J041,0,Hyderabad,Telangana,"Data Analyst, FinTech",D004,Full-time,NULL,NULL
C188,Google Operations Center,"Technology, Information and Internet",1001,J043,0,Hyderabad,Telangana,Workflow Management Team Lead - NOVA,D008,Full-time,Associate,NULL
C188,Google Operations Center,"Technology, Information and Internet",1001,J044,0,Hyderabad,Telangana,Workflow Management Team Lead - NOVA,D012,Full-time,Associate,126
C040,Media.net,"Technology, Information and Internet",1001,J046,0,Mumbai,Maharashtra,Data Analyst,D030,Full-time,Entry level,NULL
C035,OYO,"Technology, Information and Internet",5001,J061,0,Mumbai,Maharashtra,Relationship Manager,D008,Full-time,Associate,NULL
C035,OYO,"Technology, Information and Internet",5001,J062,0,Mumbai,Maharashtra,Business Development Manager,D008,Full-time,Associate,NULL
C177,JioSaavn,"Technology, Information and Internet",201,J066,0,Mumbai,Maharashtra,"SENIOR MANAGER, CLIENT STRATEGY",D084,Full-time,Mid-Senior level,NULL
C177,JioSaavn,"Technology, Information and Internet",201,J069,0,Mumbai,Maharashtra,Sr.Manager/Manager - Strategy & Operations,D084,Full-time,Mid-Senior level,NULL
C238,Zepto,"Technology, Information and Internet",51,J070,0,Mumbai,Maharashtra,Zepto - Category Manager,D008,Full-time,Associate,NULL
C035,OYO,"Technology, Information and Internet",5001,J085,0,Mumbai,Maharashtra,Relationship Manager,D015,Full-time,Associate,197
C035,OYO,"Technology, Information and Internet",5001,J087,0,Mumbai,Maharashtra,Relationship Manager,D016,Full-time,Associate,198
C177,JioSaavn,"Technology, Information and Internet",201,J090,0,Mumbai Metropolitan Region,Maharashtra,Product Analyst,D084,Full-time,Mid-Senior level,NULL
C226,Swiggy,"Technology, Information and Internet",1001,J091,0,Pune,Maharashtra,Sales Manager I,D008,Full-time,Associate,NULL
C176,Brunel,Staffing and Recruiting,10000,J093,0,Barmer,Rajasthan,Field HSE Supervisor,D008,Full-time,Associate,NULL
C176,Brunel,Staffing and Recruiting,10000,J117,0,Barmer,Rajasthan,Field HSE Supervisor,D019,Full-time,Associate,4
C072,Zyoin,Staffing and Recruiting,201,J119,0,Bengaluru,Karnataka,Data Scientist,D053,Full-time,Executive,NULL
C174,Solvios Technology,Software Development,11,J120,0,Ahmedabad,Gujarat,Manual Tester,D084,Full-time,Mid-Senior level,NULL
C174,Solvios Technology,Software Development,11,J126,0,Ahmedabad,Gujarat,Manual Tester,D096,Full-time,Mid-Senior level,75
C002,Microsoft,Software Development,10000,J154,0,NULL,Andhra Pradesh,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C002,Microsoft,Software Development,10000,J211,0,NULL,Assam,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C026,LeadSquared,Software Development,1001,J212,0,Bangalore Urban,Karnataka,Data Analyst,D008,Full-time,Associate,NULL
